,PI,NOME_COLOQUIAL,UF
0,190020792,"SULFATO DE SALBUTAMOL 0,5MG/ML SOLUÇÃO INJETÁVEL - AMPOLA 1ML (IV)",AMPOLA
3,190036670,BUCHA,UNIDADE
5,190037170,ARRUELA,UNIDADE
6,190037171,ARRUELA PLANA,UNIDADE
7,190042600,OLEO LUBRIFICANTE ENGRENAGEM,LITRO
9,190041373,APITO MARINHEIRO,UNIDADE
14,190045208,TÊNIS EDUCAÇÃO FÍSICA 35,PAR
19,190045213,TÊNIS EDUCAÇÃO FÍSICA 40,PAR
23,190045217,TÊNIS EDUCAÇÃO FÍSICA 44,PAR
27,190045188,CART 37/38MM COM 5 PROJETIS LAC CS GL-203/L,UNIDADE
29,190045207,TÊNIS EDUCAÇÃO FÍSICA 34,PAR
31,190048212,BANDEIRA INSÍGNIA DO CHEFE DO ESTADO-MAIOR CONJUNTO DAS FORÇAS ARMADAS (CEMCFA) TAMANHO B,UNIDADE
32,190047287,OLEO LUBRICANTE MOTOR,TAMBOR
35,190046836,CONTATOR MAGNETICO,UNIDADE
36,BR3230937,"MACETE DE MADEIRA (14"")",UNIDADE
37,190047736,DISTINTIVO OPERATIVO OF SUPERFÍCIE,UNIDADE
38,190026012,FLUIDO HIDRAULICO TRANSMISSAO AUTOMATICA,BALDE
49,190045270,"BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO 62,5 MG/G + 25.000 UI/G + 1,25 MG/G CREME VAGINAL 40G + 10 APLICADORES GINECOLÓGICOS",BISNAGA
60,190026469,FLUIDO HIDRAULICO BASE PETROLEO,TAMBOR
72,190045384,LAPIS DERMATOGRAFICO PRETO,DUZIA
76,190032501,TINTA EPOXI MARROM,BALDE
95,190011559,OLEO LUBRIFICANTE MOTOR,TAMBOR
112,190017483,SAPATO PRETO COM CADARÇO 52,PAR
115,190046568,ADAPTADOR ENGATE RÁPIDO,UNIDADE
117,190015257,EXTINTOR DE INCÊNDIO (FE-36 / 2 KG),UNIDADE
120,190046198,"CART 7,62 X 51 MM HPBT 168GR PREC",UNIDADE
122,190046229,DISTINTIVO DE VETERANO VA CA,UNIDADE
123,190037963,GRAMPO,UNIDADE
126,190026509,GATO 5IN,UNIDADE
129,190048167,BANDEIRA INSÍGNIA DO CHEFE DO ESTADO-MAIOR CONJUNTO DAS FORÇAS ARMADAS (CEMCFA) TAMANHO A,UNIDADE
130,190045225,DISTINTIVO COMANDO E DIREÇÃO,UNIDADE
132,190033499,ANTICORROSIVO,LATA
133,190046230,DISTINTIVO DE VETERANO AE CA,UNIDADE
134,190045209,TÊNIS EDUCAÇÃO FÍSICA 36,PAR
137,190045212,TÊNIS EDUCAÇÃO FÍSICA 39,PAR
141,190045214,TÊNIS EDUCAÇÃO FÍSICA 41,PAR
145,190045215,TÊNIS EDUCAÇÃO FÍSICA 42,PAR
149,190045216,TÊNIS EDUCAÇÃO FÍSICA 43,PAR
153,190045219,SAPATO PRETO COM CADARÇO 50,PAR
154,190045220,SAPATO PRETO COM CADARÇO 51,PAR
155,190047657,GRAXA MANCAL ROLETE X ESFERA,QUILOGRAMA
160,190041322,"CABO DE NYLON TORCIDO (DN 20 MM - CIRC. 2 1/2"")",ADUCHA
164,190045545,TORNEL AMARRA,UNIDADE
165,BR3236214,ESCORA DE MADEIRA (102 X 102 X 3660 MM),UNIDADE
174,190020227,OLEO LUBRIFICANTE COMPRESSOR AR,LITRO
178,190045199,TÊNIS EDUCAÇÃO FÍSICA 33,PAR
181,190045187,CART 37/38MM C/3 PROJETIS DE BORRACHA AM-404,UNIDADE
184,190036720,"LOCAO REPELENTE DE INSETOS - DIETIL TOLUAMIDA (DEET), AGUA, PETROLATUM, CLORETO DE SODIO, ALCOOL CETILICO, METIL PARABENO, GLICERINA, MIRISTATO DE  ISOPROPILA, DIMETICONA, ALOE BARBADENSIS, CLORETO DE DISTEARIL DIMONUIM, PERFUME E TRIETANOLAMINA.",FRASCO
185,190036958,ROLAMENTO CILINDRICO AUTO-ALINHADOR,UNIDADE
186,190036983,JUNTA,UNIDADE
187,190036987,JUNTA,UNIDADE
188,190037136,REPARO COMPRESSOR,UNIDADE
190,190041739,CONTATOR AUXILIAR,UNIDADE
191,190046016,LUBRIFICANTE PELICULA SOLIDA,QUILOGRAMA
194,190046020,OLEO LUBRIFICANTE,TAMBOR
199,190046021,OLEO LUBRIFICANTE,QUARTO DE GALAO AMERICANO
206,190044625,CONECTOR,UNIDADE
207,190045189,CART 40MM X 46 ESPUMA NT-901,UNIDADE
208,190045190,CART 40MM X 46  LUZ E SOM  NT-907,UNIDADE
218,BR3275028,ÓLEO LUBRIFICANTE PARA MOTOR,FRASCO
220,BR3270175,TINTA SELANTE SILICONE,CONJUNTO
222,BR3270176,TINTA SILICONE ELASTOMÉRICA,CONJUNTO
224,BR3270177,CONJUNTO PARA REVESTIMENTO DE BASE EPÓXI,CONJUNTO
226,BR3270178,CONJUNTO PARA REVESTIMENTO DE BASE EPÓXI,CONJUNTO
228,BR3272929,LUBRIFICANTE PELICULA SOLIDA,LATA
230,BR3270099,ÓLEO LUBRIFICANTE PARA MOTOR,BALDE
231,BR3270477,ÓLEO LUBRIFICANTE DO COMPRESSOR DE AR,BALDE
232,BR3270593,TINTA SILICONE ELASTOMÉRICA,CONJUNTO
234,BR3272237,ÓLEO LUBRIFICANTE PARA MOTOR,FRASCO
245,BR3272238,ÓLEO LUBRIFICANTE DE ENGRENAGEM,FRASCO
246,BR3274567,ÓLEO LUBRIFICANTE PARA COMPRESSOR REFRIGERANTE,BALDE
247,BR3273100,"GLICONATO DE CLOREXIDINA ALCOÓLICA 0,5%",FRASCO
248,BR3271639,BARRETA MÉRITO ACANTO 1 FOLHA BRONZE,UNIDADE
251,BR3271640,BARRETA MÉRITO ACANTO 2 FOLHAS BRONZE,UNIDADE
254,BR3271641,BARRETA MÉRITO ACANTO 3 FOLHAS BRONZE,UNIDADE
257,BR3271642,BARRETA MÉRITO ACANTO 4 FOLHAS BRONZE,UNIDADE
260,BR3271644,BARRETA MÉRITO ACANTO 4 FOLHAS PRATA,UNIDADE
263,BR3271647,BARRETA MÉRITO ACANTO 4 FOLHAS OURO,UNIDADE
265,BR3270959,FARINHEIRA,UNIDADE
269,BR3274792,ÓLEO LUBRIFICANTE PARA MOTOR,BALDE
273,BR3271512,BOTA DE VÔO 49,PAR
274,BR3271513,BOTA DE VÔO 50,PAR
275,BR3281145,ÓLEO LUBRIFICANTE PARA MOTOR,BALDE
279,BR3285538,INSÍGNIA OMBRO PLATINA CC-AFN,PAR
280,BR3284004,COMPOSTO DE PREVENÇÃO CONTRA CORROSÃO,LATA
281,BR3284430,CONJUNTO PARA REVESTIMENTO DE BASE EPÓXI,CONJUNTO
285,BR3264247,INSÍGNIA GOLA DIST VERDE-MUSGO CD,UNIDADE
286,BR3264248,INSÍGNIA GOLA DIST VERDE-MUSGO CD-SM-CONV,UNIDADE
287,BR3264249,INSÍGNIA GOLA DIST VERDE-MUSGO MD-SM-CONV,UNIDADE
288,BR3264252,INSÍGNIA GOLA DIST VERDE-MUSGO QC-CA-CONV,UNIDADE
289,BR3264253,INSÍGNIA GOLA DIST VERDE-MUSGO QC-IM-CONV,UNIDADE
290,BR3264257,INSÍGNIA GOLA DIST VERDE-MUSGO CN-CONV,UNIDADE
291,BR3265088,CHAVE COMUTADORA,UNIDADE
292,BR3265089,INTERRUPTOR DE EMPURRAR,UNIDADE
293,BR3265090,INTERRUPTOR DE EMPURRAR,UNIDADE
294,BR3265091,INTERRUPTOR DE EMPURRAR,UNIDADE
295,BR3265095,BOTÃO DE COMANDO COM CHAVE,UNIDADE
296,BR3263964,GRAXA PARA ENGRENAGEM EXPOSTA E CABO DE AÇO,QUILOGRAMA
301,190057426,INSÍGNIA BRAÇO VERDE-MUSGO CB-BD,PAR
304,190057427,INSÍGNIA GOLA DIST SO-BD,UNIDADE
308,190057482,INSÍGNIA OMBRO PLATINA SO-BD,PAR
312,190057483,INSÍGNIA BRAÇO AZUL-FERR CFN 2SG-BD,PAR
314,190057454,INSÍGNIA BRAÇO AZUL-FERR CFN CB-BD,PAR
317,BR3261790,BOTÃO,UNIDADE
319,BR3261800,PLACA CIRCUITO IMPRESSO,UNIDADE
321,BR3263427,ÓLEO LUBRIFICANTE DE ENGRENAGEM,LITRO
339,BR3266402,GUIA DA HASTE DA VÁLVULA,UNIDADE
341,BR3261710,PRESILHA RELÉ,UNIDADE
344,BR3261713,RELE,UNIDADE
346,BR3261716,PLACA CIRCUITO IMPRESSO,UNIDADE
348,BR3265480,MICROVENTILADOR,UNIDADE
351,BR3265481,RESISTOR PARA CALEFAÇÃO,UNIDADE
356,BR3267412,ÓLEO LUBRIFICANTE PARA COMPRESSOR REFRIGERANTE,GALAO
362,BR3262693,KIT SOS,UNIDADE
363,190057917,INSÍGNIA GOLA BORDADA VERDE-MUSGO 2T-CA,PAR
364,190057918,INSÍGNIA GOLA BORDADA VERDE-MUSGO 1T-CA,PAR
365,190057919,INSÍGNIA GOLA BORDADA VERDE-MUSGO CT-CA,PAR
366,BR3266862,ÓLEO LUBRIFICANTE,CAIXA
372,190057920,INSÍGNIA GOLA BORDADA VERDE-MUSGO CC-CA,PAR
375,190057921,INSÍGNIA GOLA BORDADA VERDE-MUSGO CF-CA,PAR
376,190057925,INSÍGNIA GOLA BORDADA VERDE-MUSGO GM-CA,PAR
377,190057926,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-AV,UNIDADE
378,190057927,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-AD,UNIDADE
379,190057928,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-AR,UNIDADE
380,190057929,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-CA,UNIDADE
381,190057930,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-CI,UNIDADE
382,190057931,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-CO,UNIDADE
